CurrentTime ,Frame, Theta1[rad], Theta2[rad], Theta3[rad], Theta4[rad], Wire[m], ControlSW, Theta.xboom [m], Theta.yboom [m], Theta.zboom [m], Theta.Xload [m], Theta.yload [m], Theta.Zload [m]
2024-06-22 18:49:18.843,633378,-0.03328,-0.00432,0.76053,1.55783,1.01811,0,0.00000,1.54999,1.62907,1.59500,0.53245,0.02508
2024-06-22 18:49:18.852,633379,-0.03329,-0.00430,0.76053,1.55782,1.01812,0,-0.00000,1.55000,1.62907,1.59499,0.53244,0.02509
2024-06-22 18:49:18.860,633380,-0.03330,-0.00430,0.76052,1.55781,1.01812,0,-0.00000,1.54998,1.62908,1.59498,0.53243,0.02509
2024-06-22 18:49:18.868,633381,-0.03330,-0.00427,0.76052,1.55780,1.01812,0,0.00000,1.54997,1.62908,1.59498,0.53242,0.02507
2024-06-22 18:49:18.877,633382,-0.03334,-0.00424,0.76052,1.55780,1.01811,0,-0.00000,1.54997,1.62908,1.59495,0.53243,0.02505
2024-06-22 18:49:18.885,633383,-0.03336,-0.00421,0.76052,1.55780,1.01811,0,0.00000,1.54996,1.62907,1.59492,0.53243,0.02503
2024-06-22 18:49:18.894,633384,-0.03339,-0.00419,0.76052,1.55781,1.01808,0,0.00000,1.54996,1.62906,1.59489,0.53246,0.02499
2024-06-22 18:49:18.902,633385,-0.03341,-0.00416,0.76052,1.55781,1.01809,0,-0.00000,1.54997,1.62907,1.59487,0.53246,0.02494
2024-06-22 18:49:18.911,633386,-0.03339,-0.00412,0.76053,1.55782,1.01812,0,-0.00000,1.54998,1.62906,1.59488,0.53244,0.02489
2024-06-22 18:49:18.919,633387,-0.03340,-0.00409,0.76052,1.55783,1.01812,0,-0.00000,1.54998,1.62907,1.59489,0.53243,0.02485
2024-06-22 18:49:18.927,633388,-0.03341,-0.00404,0.76053,1.55782,1.01813,0,0.00000,1.54999,1.62908,1.59488,0.53243,0.02481
2024-06-22 18:49:18.935,633389,-0.03343,-0.00398,0.76052,1.55781,1.01812,0,0.00000,1.54998,1.62908,1.59485,0.53243,0.02475
2024-06-22 18:49:18.944,633390,-0.03346,-0.00389,0.76052,1.55779,1.01811,0,-0.00000,1.54996,1.62908,1.59484,0.53243,0.02470
2024-06-22 18:49:18.952,633391,-0.03347,-0.00384,0.76052,1.55781,1.01812,0,0.00000,1.54998,1.62907,1.59482,0.53244,0.02462
2024-06-22 18:49:18.961,633392,-0.03347,-0.00377,0.76052,1.55781,1.01811,0,0.00000,1.54997,1.62907,1.59482,0.53243,0.02455
2024-06-22 18:49:18.968,633393,-0.03348,-0.00370,0.76052,1.55782,1.01810,0,-0.00000,1.54997,1.62907,1.59480,0.53244,0.02446
2024-06-22 18:49:18.977,633394,-0.03348,-0.00361,0.76052,1.55781,1.01812,0,0.00000,1.54998,1.62907,1.59481,0.53244,0.02438
2024-06-22 18:49:18.985,633395,-0.03349,-0.00355,0.76053,1.55782,1.01812,0,0.00000,1.54999,1.62907,1.59480,0.53245,0.02430
