CurrentTime ,Frame, Theta1[rad], Theta2[rad], Theta3[rad], Theta4[rad], Wire[m], ControlSW, Theta.xboom [m], Theta.yboom [m], Theta.zboom [m], Theta.Xload [m], Theta.yload [m], Theta.Zload [m]
2024-06-22 19:11:05.373,790161,-0.03258,0.00351,0.76051,1.54817,1.02271,0,-0.00000,1.55005,1.62918,1.59555,0.52789,0.03252
2024-06-22 19:11:05.382,790162,-0.03271,0.00346,0.76051,1.54812,1.02269,0,0.00000,1.55001,1.62915,1.59538,0.52788,0.03264
2024-06-22 19:11:05.390,790163,-0.03282,0.00338,0.76051,1.54812,1.02270,0,-0.00000,1.55002,1.62915,1.59525,0.52787,0.03274
2024-06-22 19:11:05.399,790164,-0.03295,0.00330,0.76051,1.54811,1.02270,0,0.00000,1.55000,1.62916,1.59513,0.52787,0.03282
2024-06-22 19:11:05.407,790165,-0.03308,0.00320,0.76051,1.54814,1.02270,0,0.00000,1.55001,1.62915,1.59499,0.52787,0.03287
2024-06-22 19:11:05.415,790166,-0.03319,0.00311,0.76052,1.54816,1.02272,0,0.00000,1.55003,1.62915,1.59488,0.52788,0.03292
2024-06-22 19:11:05.424,790167,-0.03328,0.00303,0.76052,1.54818,1.02273,0,-0.00000,1.55004,1.62914,1.59477,0.52788,0.03298
2024-06-22 19:11:05.433,790168,-0.03340,0.00294,0.76052,1.54819,1.02272,0,-0.00000,1.55002,1.62915,1.59465,0.52788,0.03306
2024-06-22 19:11:05.440,790169,-0.03356,0.00285,0.76050,1.54818,1.02274,0,-0.00000,1.55002,1.62919,1.59453,0.52787,0.03315
2024-06-22 19:11:05.448,790170,-0.03365,0.00282,0.76051,1.54813,1.02274,0,-0.00000,1.55000,1.62915,1.59440,0.52785,0.03326
2024-06-22 19:11:05.457,790171,-0.03378,0.00276,0.76050,1.54811,1.02273,0,-0.00000,1.54999,1.62915,1.59426,0.52785,0.03335
2024-06-22 19:11:05.466,790172,-0.03393,0.00270,0.76050,1.54810,1.02270,0,-0.00000,1.54997,1.62915,1.59411,0.52786,0.03343
2024-06-22 19:11:05.474,790173,-0.03407,0.00258,0.76050,1.54814,1.02275,0,0.00000,1.55002,1.62919,1.59399,0.52787,0.03348
2024-06-22 19:11:05.482,790174,-0.03417,0.00249,0.76051,1.54817,1.02276,0,0.00000,1.55003,1.62918,1.59390,0.52788,0.03353
2024-06-22 19:11:05.491,790175,-0.03427,0.00239,0.76051,1.54819,1.02277,0,-0.00000,1.55005,1.62919,1.59379,0.52789,0.03359
2024-06-22 19:11:05.499,790176,-0.03434,0.00234,0.76052,1.54817,1.02275,0,0.00000,1.55004,1.62915,1.59368,0.52789,0.03367
2024-06-22 19:11:05.508,790177,-0.03451,0.00224,0.76051,1.54817,1.02277,0,0.00000,1.55004,1.62919,1.59355,0.52788,0.03377
2024-06-22 19:11:05.515,790178,-0.03459,0.00221,0.76051,1.54813,1.02275,0,0.00000,1.55001,1.62916,1.59343,0.52787,0.03387
2024-06-22 19:11:05.524,790179,-0.03469,0.00214,0.76050,1.54812,1.02274,0,0.00000,1.54999,1.62915,1.59332,0.52787,0.03395
2024-06-22 19:11:05.533,790180,-0.03481,0.00207,0.76050,1.54812,1.02274,0,-0.00000,1.54999,1.62915,1.59319,0.52787,0.03402
2024-06-22 19:11:05.541,790181,-0.03491,0.00196,0.76051,1.54815,1.02274,0,-0.00000,1.55000,1.62915,1.59309,0.52788,0.03408
2024-06-22 19:11:05.549,790182,-0.03499,0.00189,0.76051,1.54817,1.02273,0,0.00000,1.55000,1.62914,1.59300,0.52790,0.03412
2024-06-22 19:11:05.558,790183,-0.03509,0.00183,0.76052,1.54817,1.02275,0,0.00000,1.55002,1.62914,1.59289,0.52790,0.03417
2024-06-22 19:11:05.566,790184,-0.03518,0.00178,0.76052,1.54816,1.02277,0,0.00000,1.55004,1.62915,1.59280,0.52790,0.03424
2024-06-22 19:11:05.575,790185,-0.03531,0.00170,0.76052,1.54814,1.02277,0,0.00000,1.55003,1.62915,1.59267,0.52789,0.03434
2024-06-22 19:11:05.582,790186,-0.03543,0.00167,0.76049,1.54812,1.02273,0,0.00000,1.54997,1.62916,1.59256,0.52788,0.03442
2024-06-22 19:11:05.591,790187,-0.03552,0.00162,0.76051,1.54811,1.02276,0,0.00000,1.55000,1.62915,1.59246,0.52789,0.03448
2024-06-22 19:11:05.599,790188,-0.03562,0.00155,0.76050,1.54812,1.02274,0,0.00000,1.54999,1.62915,1.59235,0.52790,0.03453
2024-06-22 19:11:05.608,790189,-0.03575,0.00148,0.76049,1.54815,1.02273,0,-0.00000,1.54999,1.62919,1.59226,0.52792,0.03456
2024-06-22 19:11:05.616,790190,-0.03579,0.00142,0.76052,1.54816,1.02275,0,0.00000,1.55002,1.62914,1.59217,0.52793,0.03460
2024-06-22 19:11:05.624,790191,-0.03586,0.00136,0.76052,1.54816,1.02275,0,0.00000,1.55002,1.62914,1.59210,0.52793,0.03465
2024-06-22 19:11:05.633,790192,-0.03596,0.00130,0.76051,1.54815,1.02276,0,-0.00000,1.55002,1.62915,1.59200,0.52792,0.03472
2024-06-22 19:11:05.641,790193,-0.03602,0.00127,0.76051,1.54813,1.02276,0,-0.00000,1.55001,1.62915,1.59194,0.52791,0.03479
2024-06-22 19:11:05.649,790194,-0.03620,0.00132,0.76051,1.54811,1.02293,0,-0.00000,1.55000,1.62915,1.59174,0.52774,0.03477
2024-06-22 19:11:05.657,790195,-0.03618,0.00119,0.76051,1.54811,1.02278,0,0.00000,1.55002,1.62914,1.59177,0.52790,0.03491
2024-06-22 19:11:05.666,790196,-0.03625,0.00112,0.76051,1.54813,1.02278,0,0.00000,1.55001,1.62915,1.59170,0.52791,0.03495
