CurrentTime ,Frame, Theta1[rad], Theta2[rad], Theta3[rad], Theta4[rad], Wire[m], ControlSW, Theta.xboom [m], Theta.yboom [m], Theta.zboom [m], Theta.Xload [m], Theta.yload [m], Theta.Zload [m]
2024-06-22 18:39:28.874,562582,-0.03693,0.00375,0.76059,1.55292,1.01843,0,0.00000,1.55010,1.62899,1.59121,0.53238,0.02462
2024-06-22 18:39:28.883,562583,-0.03629,0.00334,0.76054,1.55298,1.01854,0,0.00000,1.54999,1.62901,1.59186,0.53213,0.02497
2024-06-22 18:39:28.891,562584,-0.03570,0.00296,0.76052,1.55303,1.01836,0,-0.00000,1.54993,1.62905,1.59250,0.53222,0.02529
2024-06-22 18:39:28.899,562585,-0.03551,0.00279,0.76049,1.55305,1.01836,0,0.00000,1.54989,1.62909,1.59273,0.53217,0.02543
2024-06-22 18:39:28.908,562586,-0.03483,0.00257,0.76070,1.55310,1.01872,0,-0.00000,1.55026,1.62880,1.59312,0.53216,0.02558
2024-06-22 18:39:28.916,562587,-0.03478,0.00250,0.76062,1.55304,1.01873,0,0.00000,1.55024,1.62903,1.59340,0.53213,0.02574
2024-06-22 18:39:28.925,562588,-0.03457,0.00227,0.76066,1.55314,1.01859,0,-0.00000,1.55013,1.62878,1.59336,0.53215,0.02583
2024-06-22 18:39:28.933,562589,-0.03495,0.00216,0.76051,1.55319,1.01808,0,0.00000,1.54976,1.62887,1.59309,0.53230,0.02584
2024-06-22 18:39:28.942,562590,-0.03503,0.00229,0.76077,1.55306,1.01856,0,0.00000,1.55046,1.62877,1.59289,0.53253,0.02591
2024-06-22 18:39:28.950,562591,-0.03561,0.00286,0.76092,1.55294,1.01895,0,-0.00000,1.55083,1.62868,1.59221,0.53253,0.02551
2024-06-22 18:39:28.959,562592,-0.03565,0.00282,0.76076,1.55297,1.01831,0,-0.00000,1.55033,1.62867,1.59218,0.53267,0.02552
2024-06-22 18:39:28.966,562593,-0.03550,0.00284,0.76073,1.55292,1.01831,0,-0.00000,1.55026,1.62868,1.59234,0.53259,0.02558
2024-06-22 18:39:28.976,562594,-0.03517,0.00272,0.76071,1.55290,1.01842,0,0.00000,1.55023,1.62872,1.59271,0.53244,0.02574
2024-06-22 18:39:28.983,562595,-0.03516,0.00249,0.76055,1.55286,1.01850,0,-0.00000,1.55023,1.62924,1.59322,0.53236,0.02605
2024-06-22 18:39:28.992,562596,-0.03455,0.00200,0.76053,1.55300,1.01822,0,-0.00000,1.55007,1.62914,1.59375,0.53246,0.02633
2024-06-22 18:39:29.000,562597,-0.03414,0.00175,0.76054,1.55311,1.01821,0,0.00000,1.54998,1.62903,1.59405,0.53237,0.02642
2024-06-22 18:39:29.009,562598,-0.03435,0.00193,0.76073,1.55299,1.01842,0,0.00000,1.55028,1.62872,1.59353,0.53247,0.02641
2024-06-22 18:39:29.016,562599,-0.03423,0.00182,0.76071,1.55300,1.01836,0,0.00000,1.55023,1.62872,1.59365,0.53247,0.02651
