CurrentTime ,Frame, Theta1[rad], Theta2[rad], Theta3[rad], Theta4[rad], Wire[m], ControlSW, Theta.xboom [m], Theta.yboom [m], Theta.zboom [m], Theta.Xload [m], Theta.yload [m], Theta.Zload [m]
2024-06-22 19:17:46.717,838322,-0.03398,0.00232,0.76051,1.56825,1.02242,0,0.00000,1.54997,1.62910,1.59437,0.52815,0.00168
2024-06-22 19:17:46.725,838323,-0.03382,0.00230,0.76050,1.56831,1.02255,0,-0.00000,1.54993,1.62911,1.59453,0.52796,0.00162
2024-06-22 19:17:46.734,838324,-0.03362,0.00229,0.76049,1.56837,1.02264,0,0.00000,1.54992,1.62913,1.59476,0.52786,0.00154
2024-06-22 19:17:46.742,838325,-0.03345,0.00224,0.76047,1.56840,1.02265,0,-0.00000,1.54989,1.62914,1.59494,0.52781,0.00153
2024-06-22 19:17:46.751,838326,-0.03333,0.00222,0.76045,1.56841,1.02267,0,0.00000,1.54985,1.62916,1.59508,0.52775,0.00154
2024-06-22 19:17:46.759,838327,-0.03325,0.00224,0.76045,1.56839,1.02267,0,-0.00000,1.54983,1.62917,1.59518,0.52773,0.00155
2024-06-22 19:17:46.768,838328,-0.03321,0.00230,0.76045,1.56835,1.02266,0,0.00000,1.54984,1.62916,1.59520,0.52775,0.00154
2024-06-22 19:17:46.775,838329,-0.03328,0.00233,0.76048,1.56830,1.02247,0,0.00000,1.54992,1.62914,1.59512,0.52801,0.00160
2024-06-22 19:17:46.785,838330,-0.03332,0.00241,0.76053,1.56826,1.02242,0,-0.00000,1.55001,1.62909,1.59503,0.52816,0.00158
2024-06-22 19:17:46.792,838331,-0.03333,0.00250,0.76055,1.56822,1.02233,0,0.00000,1.55004,1.62905,1.59499,0.52828,0.00156
2024-06-22 19:17:46.801,838332,-0.03327,0.00252,0.76057,1.56822,1.02234,0,0.00000,1.55010,1.62904,1.59503,0.52832,0.00154
2024-06-22 19:17:46.810,838333,-0.03318,0.00253,0.76056,1.56822,1.02234,0,-0.00000,1.55008,1.62904,1.59514,0.52830,0.00153
2024-06-22 19:17:46.817,838334,-0.03307,0.00254,0.76055,1.56821,1.02234,0,-0.00000,1.55004,1.62906,1.59527,0.52826,0.00152
2024-06-22 19:17:46.826,838335,-0.03294,0.00258,0.76053,1.56822,1.02249,0,-0.00000,1.55001,1.62909,1.59542,0.52807,0.00147
2024-06-22 19:17:46.834,838336,-0.03280,0.00251,0.76052,1.56827,1.02254,0,-0.00000,1.55001,1.62911,1.59558,0.52803,0.00147
2024-06-22 19:17:46.843,838337,-0.03258,0.00247,0.76049,1.56829,1.02246,0,0.00000,1.54993,1.62912,1.59582,0.52802,0.00147
2024-06-22 19:17:46.851,838338,-0.03237,0.00246,0.76047,1.56834,1.02246,0,-0.00000,1.54986,1.62913,1.59605,0.52793,0.00141
2024-06-22 19:17:46.859,838339,-0.03223,0.00253,0.76046,1.56836,1.02259,0,-0.00000,1.54985,1.62914,1.59619,0.52779,0.00130
2024-06-22 19:17:46.868,838340,-0.03214,0.00257,0.76047,1.56836,1.02259,0,0.00000,1.54986,1.62914,1.59628,0.52780,0.00126
2024-06-22 19:17:46.877,838341,-0.03211,0.00258,0.76048,1.56833,1.02246,0,-0.00000,1.54991,1.62913,1.59631,0.52797,0.00130
2024-06-22 19:17:46.884,838342,-0.03210,0.00268,0.76051,1.56828,1.02246,0,-0.00000,1.54998,1.62911,1.59630,0.52805,0.00128
2024-06-22 19:17:46.893,838343,-0.03207,0.00281,0.76052,1.56820,1.02223,0,0.00000,1.54997,1.62908,1.59631,0.52826,0.00128
2024-06-22 19:17:46.901,838344,-0.03211,0.00289,0.76055,1.56817,1.02229,0,0.00000,1.55004,1.62906,1.59624,0.52828,0.00124
2024-06-22 19:17:46.910,838345,-0.03204,0.00295,0.76057,1.56815,1.02227,0,0.00000,1.55006,1.62902,1.59627,0.52832,0.00120
2024-06-22 19:17:46.918,838346,-0.03196,0.00300,0.76058,1.56816,1.02227,0,0.00000,1.55010,1.62902,1.59635,0.52835,0.00114
2024-06-22 19:17:46.925,838347,-0.03183,0.00303,0.76059,1.56818,1.02232,0,-0.00000,1.55014,1.62902,1.59648,0.52834,0.00108
2024-06-22 19:17:46.934,838348,-0.03168,0.00302,0.76056,1.56821,1.02232,0,0.00000,1.55007,1.62906,1.59668,0.52827,0.00103
2024-06-22 19:17:46.942,838349,-0.03142,0.00303,0.76052,1.56828,1.02255,0,0.00000,1.55001,1.62911,1.59699,0.52797,0.00093
2024-06-22 19:17:46.951,838350,-0.03121,0.00297,0.76048,1.56832,1.02257,0,0.00000,1.54989,1.62914,1.59723,0.52782,0.00093
2024-06-22 19:17:46.959,838351,-0.03107,0.00296,0.76045,1.56833,1.02259,0,0.00000,1.54983,1.62916,1.59740,0.52774,0.00091
2024-06-22 19:17:46.968,838352,-0.03097,0.00297,0.76045,1.56834,1.02257,0,0.00000,1.54982,1.62915,1.59749,0.52775,0.00088
2024-06-22 19:17:46.976,838353,-0.03092,0.00301,0.76046,1.56835,1.02255,0,-0.00000,1.54984,1.62914,1.59753,0.52779,0.00083
2024-06-22 19:17:46.984,838354,-0.03090,0.00308,0.76047,1.56834,1.02251,0,-0.00000,1.54986,1.62913,1.59755,0.52785,0.00077
2024-06-22 19:17:46.992,838355,-0.03086,0.00317,0.76048,1.56832,1.02248,0,0.00000,1.54989,1.62912,1.59758,0.52791,0.00071
2024-06-22 19:17:47.001,838356,-0.03086,0.00326,0.76051,1.56829,1.02249,0,-0.00000,1.54996,1.62911,1.59756,0.52796,0.00067
