CurrentTime ,Frame, Theta1[rad], Theta2[rad], Theta3[rad], Theta4[rad], Wire[m], ControlSW, Theta.xboom [m], Theta.yboom [m], Theta.zboom [m], Theta.Xload [m], Theta.yload [m], Theta.Zload [m]
2024-06-22 18:54:35.213,671342,-0.03636,-0.00083,0.76054,1.55822,1.01792,0,0.00000,1.54985,1.62887,1.59173,0.53260,0.02087
2024-06-22 18:54:35.219,671343,-0.03626,-0.00085,0.76047,1.55828,1.01820,0,-0.00000,1.54983,1.62909,1.59203,0.53230,0.02079
2024-06-22 18:54:35.228,671344,-0.03644,-0.00087,0.76064,1.55839,1.01856,0,-0.00000,1.55011,1.62884,1.59159,0.53222,0.02063
2024-06-22 18:54:35.236,671345,-0.03648,-0.00095,0.76066,1.55844,1.01861,0,0.00000,1.55019,1.62884,1.59155,0.53226,0.02063
2024-06-22 18:54:35.245,671346,-0.03629,-0.00118,0.76067,1.55846,1.01844,0,0.00000,1.55020,1.62881,1.59172,0.53242,0.02083
2024-06-22 18:54:35.254,671347,-0.03631,-0.00119,0.76068,1.55845,1.01844,0,0.00000,1.55018,1.62878,1.59167,0.53241,0.02086
2024-06-22 18:54:35.261,671348,-0.03639,-0.00105,0.76051,1.55843,1.01829,0,0.00000,1.54991,1.62905,1.59187,0.53229,0.02076
2024-06-22 18:54:35.270,671349,-0.03701,-0.00045,0.76053,1.55830,1.01822,0,-0.00000,1.54982,1.62889,1.59108,0.53230,0.02035
2024-06-22 18:54:35.278,671350,-0.03737,-0.00030,0.76060,1.55839,1.01831,0,-0.00000,1.55000,1.62884,1.59067,0.53241,0.02004
2024-06-22 18:54:35.287,671351,-0.03673,-0.00082,0.76056,1.55838,1.01865,0,0.00000,1.55010,1.62908,1.59154,0.53214,0.02059
2024-06-22 18:54:35.295,671352,-0.03642,-0.00111,0.76066,1.55844,1.01850,0,-0.00000,1.55023,1.62887,1.59165,0.53241,0.02080
2024-06-22 18:54:35.304,671353,-0.03653,-0.00112,0.76068,1.55844,1.01844,0,0.00000,1.55027,1.62886,1.59154,0.53251,0.02082
2024-06-22 18:54:35.312,671354,-0.03726,-0.00028,0.76070,1.55827,1.01864,0,-0.00000,1.55045,1.62899,1.59091,0.53252,0.02022
2024-06-22 18:54:35.320,671355,-0.03673,-0.00068,0.76051,1.55841,1.01840,0,-0.00000,1.54993,1.62907,1.59154,0.53221,0.02041
2024-06-22 18:54:35.329,671356,-0.03559,-0.00100,0.76056,1.55843,1.01859,0,0.00000,1.54989,1.62888,1.59250,0.53195,0.02071
2024-06-22 18:54:35.336,671357,-0.03657,-0.00087,0.76058,1.55845,1.01849,0,-0.00000,1.54998,1.62890,1.59153,0.53218,0.02054
2024-06-22 18:54:35.345,671358,-0.03642,-0.00101,0.76061,1.55840,1.01841,0,0.00000,1.55012,1.62894,1.59172,0.53239,0.02076
2024-06-22 18:54:35.353,671359,-0.03669,-0.00081,0.76061,1.55841,1.01857,0,0.00000,1.55013,1.62895,1.59146,0.53224,0.02054
2024-06-22 18:54:35.362,671360,-0.03580,-0.00096,0.76051,1.55844,1.01878,0,-0.00000,1.55004,1.62916,1.59256,0.53191,0.02066
2024-06-22 18:54:35.370,671361,-0.03624,-0.00088,0.76041,1.55854,1.01836,0,0.00000,1.54974,1.62919,1.59215,0.53205,0.02041
2024-06-22 18:54:35.379,671362,-0.03654,-0.00049,0.76050,1.55842,1.01848,0,0.00000,1.54989,1.62907,1.59174,0.53209,0.02021
2024-06-22 18:54:35.387,671363,-0.03684,-0.00014,0.76066,1.55835,1.01848,0,0.00000,1.55015,1.62881,1.59117,0.53236,0.01995
2024-06-22 18:54:35.396,671364,-0.03710,-0.00009,0.76067,1.55835,1.01833,0,0.00000,1.55019,1.62882,1.59093,0.53256,0.01988
2024-06-22 18:54:35.404,671365,-0.03656,-0.00051,0.76066,1.55843,1.01862,0,-0.00000,1.55022,1.62888,1.59152,0.53228,0.02020
2024-06-22 18:54:35.412,671366,-0.03693,-0.00032,0.76056,1.55843,1.01869,0,0.00000,1.55015,1.62913,1.59139,0.53215,0.02001
2024-06-22 18:54:35.420,671367,-0.03710,0.00027,0.76066,1.55831,1.01850,0,-0.00000,1.55016,1.62883,1.59093,0.53236,0.01959
2024-06-22 18:54:35.429,671368,-0.03636,-0.00048,0.76044,1.55848,1.01817,0,0.00000,1.54977,1.62913,1.59199,0.53227,0.02010
2024-06-22 18:54:35.437,671369,-0.03638,-0.00023,0.76062,1.55842,1.01851,0,-0.00000,1.55008,1.62886,1.59169,0.53224,0.01995
2024-06-22 18:54:35.445,671370,-0.03629,-0.00039,0.76066,1.55838,1.01835,0,0.00000,1.55017,1.62883,1.59176,0.53249,0.02015
2024-06-22 18:54:35.454,671371,-0.03621,-0.00032,0.76067,1.55837,1.01846,0,-0.00000,1.55022,1.62884,1.59184,0.53243,0.02011
2024-06-22 18:54:35.461,671372,-0.03611,-0.00031,0.76066,1.55843,1.01850,0,-0.00000,1.55017,1.62885,1.59195,0.53234,0.02001
2024-06-22 18:54:35.470,671373,-0.03563,-0.00021,0.76066,1.55840,1.01871,0,-0.00000,1.55018,1.62884,1.59243,0.53212,0.01995
2024-06-22 18:54:35.479,671374,-0.03601,-0.00006,0.76048,1.55834,1.01838,0,-0.00000,1.54988,1.62912,1.59233,0.53216,0.01989
2024-06-22 18:54:35.486,671375,-0.03601,0.00008,0.76066,1.55829,1.01836,0,0.00000,1.55015,1.62881,1.59202,0.53245,0.01983
2024-06-22 18:54:35.495,671376,-0.03643,0.00041,0.76074,1.55827,1.01837,0,-0.00000,1.55036,1.62877,1.59156,0.53266,0.01951
2024-06-22 18:54:35.503,671377,-0.03597,0.00012,0.76076,1.55834,1.01844,0,0.00000,1.55040,1.62875,1.59201,0.53262,0.01971
2024-06-22 18:54:35.511,671378,-0.03585,0.00020,0.76073,1.55834,1.01837,0,0.00000,1.55029,1.62874,1.59212,0.53257,0.01963
2024-06-22 18:54:35.521,671379,-0.03656,0.00105,0.76066,1.55828,1.01812,0,0.00000,1.55009,1.62874,1.59141,0.53265,0.01886
2024-06-22 18:54:35.528,671380,-0.03596,0.00075,0.76061,1.55826,1.01819,0,-0.00000,1.54997,1.62878,1.59206,0.53243,0.01920
2024-06-22 18:54:35.537,671381,-0.03578,0.00059,0.76048,1.55824,1.01808,0,-0.00000,1.54987,1.62910,1.59257,0.53245,0.01941
2024-06-22 18:54:35.545,671382,-0.03523,0.00052,0.76072,1.55831,1.01864,0,-0.00000,1.55036,1.62884,1.59284,0.53235,0.01935
2024-06-22 18:54:35.553,671383,-0.03557,0.00060,0.76071,1.55834,1.01838,0,-0.00000,1.55032,1.62883,1.59250,0.53258,0.01923
2024-06-22 18:54:35.562,671384,-0.03561,0.00096,0.76064,1.55834,1.01852,0,0.00000,1.55012,1.62884,1.59247,0.53224,0.01886
2024-06-22 18:54:35.570,671385,-0.03541,0.00101,0.76056,1.55840,1.01835,0,-0.00000,1.54977,1.62875,1.59258,0.53205,0.01872
2024-06-22 18:54:35.578,671386,-0.03512,0.00087,0.76058,1.55853,1.01823,0,0.00000,1.54972,1.62862,1.59276,0.53211,0.01866
2024-06-22 18:54:35.586,671387,-0.03484,0.00102,0.76047,1.55838,1.01834,0,-0.00000,1.54987,1.62911,1.59354,0.53214,0.01874
